english,hindi
ganga,गंगा
and,और
sun,सूरज
glenna,ग्लेंना
agaton,एगाटन
mera,मेरा
naam,नाम
rohan,रोहन
gavskar,गावस्कर
manjushree,मंजुश्री
nadaalo,नडालो
barlin,बर्लिन
order,ऑडर
aaf,ऑफ
aviz,एविज़
fort,फोर्ट
lindermen,लिंडरमेन
natali,नताली
coal,कोल
ayyar,अय्यर
khuda,खुदा
ka,का
banda,बंदा
rasraaj,रसराज
khalisa,खलीस
seiraj,सैराज
bahutule,बहुतुले
somburt,रॉबर्ट
kroft,क्रोफ्ट
phatpur,भटपुर
nairit,नैरित
krubek,क्रूबेक
daal,दाल
mein,में
kala,काला
ashok,अशोक
nagar,नगर
kahma,काह्मा
university,यूनिवर्सिटी
of,ऑफ
new,न्यूकैसल
brokem,ब्रोकेम
fort,फोर्ट
massimo,मस्सिमो
infosys,इंफ़ोसिस
greg,ग्रेग
banwet,बनवेट
my,मेरा
boy,लड़का
navrangpur,नवरंगपुर
crimes,गुनाहों
of,का
decision,फैसला
saad,साड
twenty,बीस
technologies,टेक्नोलॉजीज़
limited,लिमिटेड
lazy,लेंसी
mericopa,मेरीकोपा
gurudwara,गुरूद्वारा
nankasar,नानकसर
sahib,साहिब
siji,सिज़ी
boron,बोरोन
do,दो
sal,साल
pahle,पहले
dumbag,डमबेग
gurjas,गुरजस
malay,मलय
reno,रेनो
rajgad,राजगढ़
fort,फोर्ट
varnlease,वेर्नलीस
fort,फोर्ट
dost,दोस्त
shokhiyan,शोखियाँ
onder,ऑडर
of,ऑफ
australia,ऑस्ट्रेलिया
jaikas,जैकस
syndicate,सिंडीकेट
bank,बैंक
unus,युनुस
emar,इमर
hunt,हंट
jaimison,जैमिसन
virat,विरत
timin,तिमिन
shishir,शिशिर
aparajit,अपराजित
abrash,अबराश
viraj,विराज
rent,रेंड
pyasi,प्यासी
bandra,बांद्रा
tarmins,टर्मिनस
shyamat,श्यामता
arli,अर्ली
varso,वारसो
thetis,थेटिस
dilbar,दिलबर
pinglia,पिंगलिया
abdul,अब्दुल
muiz,मुईज़
anhkhe,आँखें
sunil,सुनिला
ek,एक
bechara,बेचारा
vidhrujayi,विश्वजयी
birapati,बीरापती
dulal,दुलाल
ladki,लड़की
angamaali,अंगमाली
ivejeliya,इवेंजेलिया
mujhe,मुझे
kasam,कसम
hai,है
feorenzha,फियोरेंज़ा
manibandh,मणिबंध
tamhankar,ताम्हनकर
begunaah,बेगुनाह
gunung,गुनुंग
gede,गेडे
pengrango,पैनग्रांगो
pulu,पुलू
keeling,कीलिंग
abanoor,अबनूर
gloria,ग्लोरिया
i,मैं
basil,तुलसी
ty,तेरी
aangan,आँगन
of,की
hills,हिल्स
sky,स्काय
dywing,डाइविंग
athar,अथार
like,लईक
vetal,वेताल
usman,उस्मान
don,डॉन
johnson,जॉनसन
studio,स्टुड‍ियो
museum,म्युज़ियम
lumshnong,लम्सनाँग
village,विलेज
mustaeen,मुस्तईन
mevan,मेवन
pieris,पाइरिस
anwar,अनवर
sadat,सादत
divine,द‍िव्य
nhews,भास्कर
yogitaa,योगिता
in,इन
harlen,हार्लेन
ghuab,ख्वाब
ki,की
dunia,दुनिया
zaghmi,ज़ख्मी
imzan,इंसान
vapusk,वापुस्क
bhayini,भाइनी
ghurd,खुर्द
vishalakshi,विशालाक्षी
saataang,सातांग
national,नेशनल
museum,म्युज़ियम
of,ऑफ
china,चाइना
paatemakin,पॉटेमकिन
fakruddin,फकरूद्दीन
ganjashaakar,गंजशाकर
silees,सिलीस
australian,ऑस्ट्रेल‍ियन
war,वार
memorial,मेमोर‍ियल
temitria,डेमिट्रिया
ghar,घर
ki,की
laaj,लाज
cha,चा
chaa,चा
royal,रॉयल
manaj,मानज
khanduja,खंडुजा
sanborn,सैनबॉर्न
jorjanna,जोर्जना
chaneti,चनेटी
lyris,लाइरिस
gousli,गोस्ली
amaltas,अमलतास
acharyasuta,आचार्यसुता
argonia,अर्गोनिया
friends,फ्रेंडस
purana,पुराना
kila,किला
somash,सोमांश
donald,डोनाल्ड
ramsfield,रम्सफ़ील्ड
lenin,लेनिन
peace,पीस
prize,प्राइज़
indo,इंडो
alberta,अल्बर्टा
museum,म्युज़ियम
govin,गेविन
rainy,रेनी
golden,गोल्डन
gate,गेट
hierlandus,हाईलैंड्स
shourya,शौर्य
chakra,चक्र
aamur,आमूर
rama,रामा
venji,वेनजी
under,ऑडर
unrla,ऑर्ला
bailego,बायलेगो
bajrangbali,बजरंगबली
rand,रॉड
marsh,मार्श
andrew,एण्ड्रयू
simondus,सिमंड्‍स
princess,राजकुमारी
subrata,सुब्रता
lav,लव
these,इन
goa,गोवा
usayd,उसैद
grady,ग्रेडी
chaparmukh,चपरमुख
junction,जंक्शन
whaserman,धोबी
damin,दामिन
bolivia,बोलिविया
ek,एक
saal,साल
pahele,पहले
banseles,बॉन्सेलेस
fort,फोर्ट
nrbendra,नृपेंद्र
meenu,मीनू
alis,ऐलिस
freezes,फ़्रीसीज़
sulget,सुलगते
arman,अरमान
yogia,योगीय
subarna,सुबर्ना
mark,मार्क
elhem,एल्हैम
mahal,महल
mahak,महक
brazwhile,ब्राज़विले
jai,जय
bangladesh,बांग्लादेश
heera,हीरा
moti,मोती
stora,स्टोरा
enso,एंसो
group,ग्रुप
pinalt,पिनॉल्ट
print,प्रिंट
duhayi,दुहाई
doctor,डॉक्टर
carlton,कार्लटन
bag,बॉग
ethanal,एथनील
vishnugupt,विष्णुगुप्त
jeyant,जयंत
nationwide,नेशनवाइड
hindustan,हिंदुस्तान
copper,कॉपर
hothi,होठी
himalpesebal,इमप्लेसेबल
gruhashathi,गृहस्थी
achalgunj,अचलगंज
kandhari,कंधारी
first,फर्स्ट
canadian,कैनेडियन
place,प्लेस
gurudwara,गुरूद्वारा
phalahi,फलाही
sahiba,साहिब
phalye,पहली
jhalk,झलक
fionn,फियोन
raj,राज
darbar,दरबार
court,फोर्ट
day,डे
joux,जॉक्स
mar,मर
metangay,मिटेंगे
fort,फोर्ट
sent,सेंट
jaan,जॉन
fin,फिन
frank,फ़्रेक
lied,लॉयड
write,राइट
bucket,बुकिट
barisan,बरीसन
selton,सेलटन
salem,सलेम
hobi,होबी
bekar,बेकर
award,अवार्ड
ashrleph,अश्लेष
aareez,आरीज
chandar,चन्दर
cityspar,सिटीस्पार
ford,फोर्ट
albnee,एल्बनी
amberto,अम्बेर्टो
konarki,कोनार्की
roing,रोइंग
sumatra,सुमात्रा
isthemaad,इत्तेमाद
halchal,हलचल
dunlon,दूलों
coldstream,कोल्डस्ट्रीम
museum,म्युज़ियम
anisur,अनीसुर
sourabh,सौरभ
char,चार
chand,चाँद
chaina,चाइना
nechural,नेचुरल
risource,रिसोर्स
elan,एलन
tarnar,टर्नर
dohahaa,दोराहा
snigdha,स्निग्धा
rahman,रहमान
aakash,आकाश
rati,सती
aanusurya,अनुसुया
rachhita,सच्चित
goranaa,गोराना
duglas,डगलस
vo,वो
phir,फिर
nahi,नहीं
valentino,वैलेंटिनो
shurayah,शुरायह
tonia,टोन्या
conzioanto,कॉनजज्युनटो
santa,सेंटा
rita,रीटा
pramandra,प्रमेंद्र
mitsubishi,मित्सुबिशी
camalin,केमिकल
luckhy,लक्खी
aayi,आई
priytama,प्रियतमा
keisiya,कैसिया
teri,तेरी
fang,माँग
sitarom,सितारों
se,से
phar,भर
doom,दूँ
papiha,पपीहा
saraaya,सराय
ihina,इहिना
mistake,मैस्टेक
betwa,बेतवा
devinder,देविंदर
namaste,नमस्ते
ji,जी
saskotiswar,सप्तकोटिश्वर
abjinipati,अब्जिनिपति
nabart,नॉर्बर्ट
re,रे
gurudwara,गुरूद्वारा
santokhsir,संतोखसर
rohan,रोहण
dayanand,दयानन्द
goraaya,गोराया
aacharyasuta,आचार्यसुता
praan,प्राण
skainiya,स्कैनियन
war,वार
vinar,वीनर
award,अवार्ड
kaithal,कैथल
shabri,शबरी
asavari,असावरी
helen,हेलन
kelar,केलर
cardiom,कार्डिओम
pharma,फ़ार्मा
corporation,कॉर्पोरेशन
ramkumar,रामकुमार
glen,ग्लेन
bishop,बिशप
matru,मातृ
bhumi,भूमि
jagat,जगत
mohini,मोहिनी
kache,कच्चे
heer,हीरे
gairik,गैरिक
saraswat,सारस्वत
adinarayana,आदिनारायण
badmashom,बदमशों
kaa,का
badmash,बदमाश
mexico,मेक्सिको
city,सिटी
romanjof,रोमनज़ोफ़
kailetha,कैलेंथा
pacific,पैसिफिक
phalnikar,फलणीकर
century,सेन्चुरी
tower,टॉवर
fort,फोर्ट
bliss,ब्लिस
cheng,चेंग
karsan,कार्सन
driving,डाईविंग
dalpatpur,दलपतपुर
ocean,ओशन
masood,मसूद
calasas,कॉलॉसस
khadilkar,खाडिलकर
fansteen,फॉस्टीन
sclane,सक्लेन
mushtak,मुश्ताक
bada,बड़ा
bhai,भाई
dogargaon,डोंगरगांव
birh,बिरह
key,की
rat,रात
jaan,जॉन
linen,लैनन
tino,टिनो
best,बेस्ट
bholanath,भोलानाथ
offirah,अफीराह
wilem,विलेम
giri,गिरि
aangleswar,अंकलेश्वर
rudr,रुद्र
bayon,बायोन
dusk,डेटस्कलैंड
ramayan,रामायण
satyakam,सत्यकाम
amarkant,अमरकांत
ebn,इब्न
arbi,अरबी
abim,अबहीम
telin,टेलिन
jakhmi,ज़ख्मी
jamin,ज़मीन
jaigar,जैगर
sristi,सृष्टि
carmail,कारमेल
convent,कॉन्‍वेंट
school,स्कूल
museum,म्युज़ियम
off,ऑफ
engrevingwas,एन्ग्रेव‍िंग्स
end,एण्ड
graphic,ग्राफ‍िक
aatras,आर्ट्स
shitha,शीया
lafja,लॉव्ज़
bhatapaar,भटपार
rani,रानी
puri,पुरी
bhapa,भापा
nisbaat,निस्बात
barbadih,बरवादिह
junction,जंक्शन
omeshwar,ओमेश्वर
fort,फोर्ट
rontut,रॉनड्‍यूट
sati,सती
seeta,सीता
thomas,थॉमस
cook,कुक
gulati,गुलाटी
brookley,ब्रुकले
mohmmed,महमूद
shabistari,शबिस्तरी
colorado,कोलोरॅडो
spring,स्प्रिंग
jungle,जंगल
ki,की
ayraan,आयरा
gudalupe,गुडालुपे
prabhsimran,प्रभसिमरन
gohana,गोहाना
latikaa,लतिका
athula,अथुला
samarasekera,समारासेकरा
vinnie,विनी
green,हरी
bhrother,भाई
ka,का
pyar,प्यार
agni,अग्नि
pareeksha,परीक्षा
raste,रास्ते
aur,और
rishte,रिश्ते
sultanpuriya,सुल्तानपुरिया
ura,उरा
toni,टोनी
award,अवार्ड
dalgaav,डलगांव
ab,अब
meri,मेरी
baari,बारी
mein,मैं
vahi,वही
houn,हूँ
saakshi,सांझी
phillar,फिलर
aaj,आज
ka,का
robinhood,रॉबिनहुड
kullu,कुल्लू
pontrick,पॅट्रिक
french,फ़्रेंच
kshay,श्रेय
akira,अकीरा
neero,नीरो
guriya,गुरिया
now,अब
justice,इंसाफ
will,होगा
providns,प्रॉविडन्स
darla,डेर्ला
rebel,बागी
haseena,हसीना
round,राउंड
dance,डांस
devona,डेवोना
basari,बरसी
taun,टाउन
vatika,वाटिका
preyasi,प्रेयसी
ratowal,रतोवाल
muntsir,मुंतसिर
chenderoh,चेन्देरोह
daim,डैम
dominik,डोमिनिक
raidah,रैदाह
chrischiyan,क्रिश्चियन
church,चर्च
off,ऑफ
clarentown,क्लारेनडॉन
hills,हिल्स
bhavesh,भावेश
suhas,सुहास
omeli,ओमेली
ksena,क्सेना
veretis,वेरेडिस
jagan,जगन
christin,क्रिस्टीन
godfre,गोडफ्रे
grenech,ग्रेचेन
jitendra,जितेन्द्र
iabarat,इबरत
bank,बैंक
of,ऑफ
punjab,पंजाब
east,इस्ट
nimand,निमाड़
varti,वर्डी
dooth,दूध
ka,का
karz,कर्ज़
redatable,रेडॉटेबल
khel,खेल
mohabbat,मोहब्बत
ka,का
mohammad,मोहम्मद
sanaampta,सनऑप्टा
fort,फोर्ट
legonear,लिगोनियर
state,स्टेट
heraldick,हेराल्ड‍िक
museum,म्युज़ियम
shahiraah,शहीराह
bazhida,बज़िदा
jatan,जतन
maksood,मकसूद
rana,राणा
feel,फिल
carlson,कार्लसन
padosan,पड़ोसन
bijli,बिजली
chamke,चमके
jamna,जमना
paar,पार
janhvi,जान्हवी
solah,सोलह
daugter,बेटी
farhat,फरहत
kuntaa,कुंता
medal,मेडल
of,ऑफ
zhukov,ज़ुकोव
miss,मिस
good,गुड
knight,नाइट
gauth,गौथ
seventeen,सत्रह
malika,मलिका
salomi,सलोमी
fort,फोर्ट
royal,रॉयल
claim,क्लेम
flow,फ्लो
order,ऑडर
of,ऑफ
merit,मेरिट
prapitameshwar,प्रपितामेश्वर
badrinath,बद्रीनाथ
gulami,गुलामी
mureal,म्युरिएल
nakli,नकली
bap,बाप
ashiana,आशियाना
vrihuala,विहुएला
utpal,उत्पल
chetterjee,चैटर्जी
perunchni,पेरुंचनी
rizarvayor,रिज़रवायर
bethani,बेथानी
evongelikal,एवनगेलिकल
free,फ़्री
lala,लाला
rukh,रुख
dusuha,दसूहा
satyamurti,सत्यमूर्ति
antim,अंतिम
justice,न्याय
cardigan,कार्डिगन
stuart,स्टुअर्ट
matsikenyeri,मैटसिकेन्येरी
bhimavaram,भीमावरम
junction,जंक्शन
adelaide,एडीलेड
sanghera,संघेरा
tonganoxie,टाँगनॉक्सी
christian,क्रिश्चियन
dil,दिल
ka,का
saathi,साथी
dil,दिल
margret,मार्गरेट
mad,मेड
shuchismita,शुचिस्मिता
stern,स्टैन
abdul,अब्दुल
mukeet,मुकीत
ali,अली
dasuya,दसुया
begu,बेगु
sarayi,सराई
rani,रानी
rahman,रहमान
saudanr,साउदर्न
aayran,आयरन
keshav,केशव
sultan,सुल्तान
sukanya,सुकन्या
jordan,जॉर्डन
raid,रेड
roj,रोज़
yolanda,योलान्डा
heroid,हेरोइट
phosforus,फॉस्फोरस
vijender,विजेंदर
ranjit,रंजीत
fernando,फर्नेंडो
zada,ज़ैदा
crete,क्रेट
maritime,मैरीटाइम
museum,म्युज़ियम
bharti,भारती
air,एयर
hamburg,हैमबर्ग
saipratap,साईप्रताप
dionne,डियोन
sharmila,शर्मिला
doyiwala,दोइवाला
ladki,लड़की
bholi,भोली
bhali,भाली
rochna,रोचन
amita,अमिता
bijayanagar,बिजयनगर
devata,देवता
radha,राधा
krishna,क़ृष्ण
gharoda,घरोड़ा
saimah,सैमाह
vikram,विक्रम
solanki,सोलंकी
texas,टैक्सास
instruments,इंस्ट्रुमेंट्स
bangai,बॉन्गाईगांव
siddi,सिद्धि
vinayak,विनायक
queen,क्वीन
bakir,बाकिर
meetha,मीठा
zehar,ज़हर
davida,टेविटा
banoff,बैरनऑफ
acharyanandan,आचार्यनंदन
chanchuka,धंधुका
sagufa,शगुफा
do,दो
khiladi,खिलाड़ी
cleopatra,क्लियोपात्रा
asoka,असोका
day,डे
silva,सिल्वा
abdul,अब्दुल
nafi,नफी
garmin,गार्मिन
robin,रॉबिन
jackman,जैकमन
acharya,आचार्य
mard,मर्द
ka,का
baccha,बच्चा
chase,चैज़
jagrao,जगराउ
raaj,राज
rani,रानी
devendra,देवेंद्र
olesia,ओलेसिया
kayanthiya,कायंथिया
basil,तुलसी
oter,दूसरी
marriage,शादी
ronat,रोनट
vermilion,सिंदूर
of,का
donation,दान
vishakha,विशाखा
his,अपना
homhe,घर
kuwara,कुँवारा
badan,बदन
skohenepheld,स्कोहेनेफेल्ड
ratr,रत्न
manjari,मंजरी
shahinah,शाहीनाह
maha,महा
shaktimaan,शक्तिमान
anatoli,अनातोली
lek,लेक
oomananda,ओमानन्द
dika,डिक
wine,वैन
daik,डाइक
chittowdgad,चित्तौड़गढ़
fort,फोर्ट
kevaladev,केवलादेव
tom,टॉम
silaak,सीलॅक
asabag,अस्बाग
district,डिस्ट्रीक्ट
tanganyika,टांगानाइका
robert,रॉबर्ट
kennedy,कैनेडी
dharam,धरम
wife,पत्नी
chapra,छपरा
parminder,परमिंदर
sa'ood,सऊद
sawwaf,सव्वाफ
anjushree,अंजुश्री
reliance,रिलायंस
capital,कैपिटल
koushal,कौशल
lokuarachhi,लोकुअराच्ची
faindaingo,फैनडैंगो
jenibel,जेनिबेल
sayyad,सय्यद
rasel,रसेल
gangan,गंगन
kaaga,कागा
umayyah,उमय्याह
china,चाइना
grandak,ग्रेन्टेक
competition,कॉर्पोरेशन
limited,लिमिटेड
kargil,कारजिल
sule,सुले
induja,इन्दुजा
odissi,ओडिसी
flex,फ़्लेक्स
industries,इंडस्ट्रीज़
team,टिम
curry,कॅरी
bhoy,भाई
kaa,का
dushman,दुश्मन
bhoy,भाई
cadhjury,काठजुरी
binaguri,बिनागुरी
jalte,जलते
deep,दीप
gowot,गैवोट
shisha,शीशा
nilagriva,नीलाग्रीव
benin,बेनिन
dadha,दाद
mard,मर्दों
vaali,वाली
bat,बात
prem,प्रेम
kee,की
duniya,दुनिया
barbara,बारबरा
valters,वॉल्टर्स
crocker,क्रोकर
hainkank,हैनकॉक
naazneem,नाज़नीं
parambikulam,परमबिकुलम
rezervoir,रिज़रवायर
kairesa,कैरेसा
junior,जुनियर
murle,मुर्रे
nusrat,नुसरत
fateh,फतेह
ali,अली
khan,खान
kairesi,कैरेसी
mayur,मयूर
baruva,बरुवा
fort,फोर्ट
zachary,ज़करी
tailor,टेलर
prhithvi,पृथ्वी
vallabh,वल्लभ
tata,टाटा
finance,फ़ायनेंस
yuran,युरन
fabiano,फैबियानो
dayyan,दयान
ninon,निनोन
kamakshi,कामाक्षी
amman,अम्मान
kaisiya,कैसिया
university,यूनिवर्सिटी
of,ऑफ
nodar,नोटर
dam,डेम
lala,लाला
mohsin,मोहसिन
kamal,कमाल
petronos,प्रेट्रोनॉस
tower,टॉवर
phaiyat,फैयद
nastar,नश्तर
tayni,टायनी
vikrant,विक्रांत
badriprasad,बद्रीप्रसाद
ek,एक
hasini,हसीना
do,दो
diwane,दीवाने
aakarshan,आकर्षण
kwintana,क्विंटाना
gurudwara,गुरूद्वारा
southhaal,साउथहाल
thuvaibah,थुवैबाह
begam,बेगम
akhtar,अख्तर
vanamaalee,वनमाली
fahd,फहद
beauty,सुंदरता
bohrium,बोरियम
atiya,अतिया
muhtadi,मुहतादी
bata,बाटा
drums,ड्रम्स
mekong,मेकाँग
medini,मेदिनी
aklmsh,अकल्मश
rekhi,रेखी
roti,रोटी
sohota,सोहोटा
thiodor,थीओडोर
rujvelt,रूज़वेल्ट
saim,सेम
group,ग्रुप
bahadurgard,बहादुरगढ़
abdul,अब्दुल
jaisalmer,जैसलमेर
fort,फोर्ट
bali,बाली
ilesh,इलेश
raste,रास्ते
pyar,प्यार
ke,के
bengai,बैंगई
balgopal,बालगोपाल
yen,येन
chandpur,चाँदपुर
shote,शोटे
bawtri,बॅटरी
tahseen,तहसीन
hajaribag,हजारीबाग
neel,नील
simon,साइमन
davis,डेविस
champavat,चम्पावत
unikem,युनिकेम
rahim,रहीम
nasruddin,नसरूद्दीन
mark,मार्क
higs,हिग्स
sinjini,शिंजिनी
limestone,लैंगस्टोन
ridat,रिडाउट
fill,फिल
edmonds,एडमंड्‍स
haat,हाथ
key,की
safai,सफाई
yuvaraj,युवराज
singh,सिंह
pahala,पहला
pahala,पहला
pyar,प्यार
prativam,प्रीतवम
shashi,शशी
garibi,गरीबी
hadao,हटाओ
spedses,स्पेट्सेस
museum,म्युज़ियम
bhai,भाई
sahab,साहब
rosanlal,रोशनलाल
ambika,अंबिका
sifayar,सैफायर
satyavan,सत्यवान
prajapat,प्रजापत
anaparti,अनापर्ती
theodora,थियोडोरा
kashif,काशिफ
rajan,रज़ा
ismael,इस्मा'ईल
ismah,इस्माह
nayyab,नय्यब
kirti,कीर्ति
ajad,आज़ाद
ova,ओवा
lembsa,लैब्स
american,अमेरिकन
lejan,लेजन
mukuta,मुकुट
soundowall,सैंडोवल
net,नेट
king,किंग
coal,कोल
mukura,मुकुर
philiphinse,फ़िलीपिन्स
abdul,अब्दुल
rakeb,रकीब
ek,एक
naye,नई
paheli,पहेली
balharshah,बल्हारशाह
adin,ऐदीन
tori,टोरी
fil,फिल
nester,नेस्टर
ganadhik,गणधिक
marshall,मार्सेल
benoist,बेनोइस्ट
prize,प्राइज़
damini,दामिनी
apollo,अपोलो
hospital,हॉस्पिटल
lakkad,लक्कड
kairen,कैरेन
blixon,ब्ल‍िक्सन
museum,म्युज़ियम
camp,केप
horn,हॉर्न
chhatre,छत्रे
bhadbhoke,भाडभोके
eldhiya,एल्थिया
baha,बहा
all,अल
deen,दीन
gustao,गुस्तावो
dhameejaa,धामीजा
aaditya,आदित्य
vikram,विक्रम
bidala,बिड़ला
group,ग्रुप
gangabhrat,गंगाभृत
tanpura,तानपुरा
sanam,सनम
teri,तेरी
kasam,कसम
gomoh,गोमोह
junction,जंक्शन
tarla,तरला
avan,एऑन
center,सेन्टर
tredent,ट्रिडेंट
idena,इडेना
raamendra,रामेंद्र
safed,सफ़ेद
juthe,झूठ
aara,आरा
jokasta,जोकस्ता
delta,डेल्टा
fort,फोर्ट
scout,स्कॉट
paapi,पापी
peat,पेट
ka,का
sawal,सवाल
hai,है
basar,बसर
lankeshwar,लंकेश्वर
shyamangi,श्यामांगी
khafid,खाफिद
chetan,चेतन
chandi,चाँदी
sona,सोना
narang,नारंग
oliviya,ओलिविया
barad,बराड़
altar,वेदी
baghauli,बघौली
patagonian,पेटागोनियन
sen,सेन
lanza,लैंजा
christie,क्रिस्टी
abdur,अब्दुर
rahman,रहमान
fox,फॉक्स
attack,वार
weddell,वेडेल
carl,कार्ल
war,जंग
aragn,एरागन
sacrifice,यज्ञ
fort,फोर्ट
adams,एडम्स
matching,मिलान
lynette,लिनेट
bombay,बंबई
key,की
bahu,बहू
vendi,वेंडी
tarvinder,तरविंदर
janica,जेनिका
arsanic,आर्सेनिक
russel,रसेल
bassi,बस्सी
pathnam,पठनम
chandelika,चंद्रलेखा
kolorado,कोलोरॅडो
hakakandi,हलाकांडी
estabarak,इस्तबराक
sheesham,शीशम
godse,गोडसे
sentrika,सेन्ट्रिका
chinchali,चिंचली
shahi,शाही
bajar,बाज़ार
dian,डाएन
dial,डायल
hedley,हेडली
shafi,शफी
fort,फोर्ट
university,यूनिवर्सिटी
of,ऑफ
vadech,वदेच
jaikaabs,जैकॉब्स
vel,वेल
aseem,असीम
see,सी
aaph,ऑफ
maarmaaraa,मारमारा
rashtriy,राष्‍ट्रीय
sahara,सहारा
atikaah,आतिकाह
sundarlight,सुंदरलैंड
dalal,दलाल
khwin,ध्वनि
ford,फोर्ट
spain,स्पायन
amirindr,अमिरिंद्र
kleint,क्लॉड
interesn,हेंडरसन
doulat,दौलत
ke,के
bahaar,बहार
alibaba,अलीबाबा
majeerna,मर्जीना
rangeel,रंगील
ratan,रतन
pairenees,पायरेनीस
hasru,हार्से
shaswathi,शस्वती
linkolen,लिंकोलन
dhugi,घुगी
dushman,दुश्मन
anokha,अनोखा
bandhan,बंधन
nabid,नबिघ
saroja,सरोजा
shairij,शेरीज
vadita,वादिता
brandon,ब्रेंडन
julian,जूलियन
kaishal,कैशल
taarkedhar,तारकेश्वर
khirash,खिराश
rosemond,रोसमन्ड
utsah,उत्सा
jainab,ज़ैनब
makra,मर्क
atirah,आतिराह
prometheis,प्रोमिथेउस
chool,खुल
ja,जा
walk,वॉक
shawn,शान
creek,क्रीक
community,कम्युनिटी
bible,बायबल
kavi,कवि
sammelen,सम्मेलन
taruni,तरुणी
tulsidas,तुलसीदास
jyotiba,ज्योतीबा
sim,सिम
sim,सिम
yelijaabeth,एलीज़ाबेथ
kaleyar,क्लेयर
profate,प्रोफ़ेट
fort,फोर्ट
daarnet,डार्नेट
dachigam,दाचीगम
achleskhar,अचलेश्वर
vailes,वैलेस
phule,फुले
nagar,नगर
livonde,लिवोंदे
viyatnam,वियतनाम
mera,मेरा
nasib,नसीब
bell,बेल
naithle,नैथले
deni,डेनी
kwalior,कवालियर
ezra,एज़्रा
moselle,मोसेले
s,केया
accomphlishment,सिद्धि
chiranjeev,चिरंजीव
clear,निर्मल
calla,कैला
fajhulapur,फैज़ुलापुर
hiralal,हीरालाल
chirantan,चिरंतन
deshonnati,देशोन्नत‍ि
stenley,स्टैनले
day,डे
silva,सिल्वा
ansu,आँसू
ban,बन
gaye,गए
ful,फ़ूल
ashrad,अर्शद
davoyanka,दवोयंका
badri,बद्री
tumhare,तुम्हारे
beena,बिना
jodi,जोडी
ajanta,अजंता
toshiba,तोशिबा
krodhi,क्रोधी
collang,कोलाँग
tanzim,तंज़ीम
griffiths,ग्रिफिथ्स
subah,सुबह
betar,बेटर
online,ऑनलाइन
solutions,सॉल्यूशंस
holi,हॉली
hunter,हंटर
mamta,ममता
ki,की
chhav,छाँव
me,में
shadab,शादाब
karlisal,कार्लिसल
pyasa,प्यासा
sawan,सावन
sayyar,सय्यार
do,दो
kaliyam,कलियाँ
boss,बोस
corp,कॉर्प
nizr,नीजर
aashi,आशी
kaseyi,कसेई
manchala,मनचला
carlindaa,कारलिंडा
masina,मसीना
vaarta,वार्ता
professional,प्रोफेश्नल
resilinga,रेस्लिंग
tough,दो
dilo,दिलों
ki,की
dastan,दास्तां
bagi,बागी
durga,दुर्गा
mata,माता
inkitadaar,इक़्तिदार
elastraders,इलस्ट्रेटर्स
of,ऑफ
te,द
future,फ्यूचर
bahaucin,बहाउद्दीन
deepit,दीपित
soudamini,सौदामिनी
suhrevardi,सुहरेवर्दी
kawabata,कावाबाटा
yasunari,यसुनारी
prize,प्राइज़
wipro,विप्रो
salikah,सलीकाह
endrance,एण्ड्रू
national,नेशनल
television,टेलीविज़न
awardress,अवार्ड्‍स
delaveyar,डेलावेयर
canal,केनाल
constalation,कॉन्स्टेलेशन
boinda,बोइंदा
bay,बे
aabru,आबरू
chandeegadiya,चंडीगड़िया
bharva,भरवा
sumerpur,सुमेरपुर
gurneet,गुरनीत
ram,राम
key,की
ganga,गंगा
mainda,मैड्रा
canadia,केनेडिया
maria,मारिया
shrivar,श्रीवर
martan,मॉर्टन
fort,फोर्ट
semd,सेंट
philip,फिलिप
treksis,ड्रेक्सिस
heldhth,हेल्थ
ambotala,अम्बोडाला
jai,जॉय
bejamin,बेंजामिन
darsh,दर्श
kattar,कटर
david,डेविड
joseph,जोसफ
gurprit,गुरप्रीत
kasibhagh,कशिफाह
hujyarah,हुजयराह
azrak,अज़राक
takr,डाकर
gandhidam,गांधीधाम
junction,जंक्शन
microbiology,माइक्रोबायोलॉजी
modak,मोडक
chirag,चिराग
medlina,मैडलीना
tower,टावर
fort,फोर्ट
lily,लिली
kala,काला
samander,समंदर
north,नॉर्थ
bhudhar,भूधर
william,विलियम
shakespear,शेक्सपियर
te,द
little,लिटिल
white,व्हाइट
fort,फोर्ट
lamdun,लॉडून
kusumadheeraj,कुसुमाधिराज
badnera,बदनेरा
junction,जंक्शन
pyasi,प्यासी
aatma,आत्मा
prahlad,प्रहलाद
salamat,सलामत
raen,रॉएन
mera,मेरा
gaon,गाँव
isa,ऐसा
bhi,भी
hota,होता
he,है
selesteen,सेलेस्टीन
garphone,गरफॉन
bhagalpur,भागलपुर
jansiwale,झांसीवाले
dairan,डैरन
semmi,सैम्मी
ravinder,रविंद्र
ladki,लड़की
sahyadri,सह्याद्री
ke,की
port,पोर्ट
luis,लुईस
edith,एडिथ
alfonso,अल्फांसो
fail,फेल
angelo,एंजेलो
balmani,बालमणि
milton,मिल्टन
paidaina,पायडैना
motilal,मोतीलाल
hashim,हाशिम
ghamandi,घमंडी
telburt,डेलबर्ट
manoj,मनोज
prabhakar,प्रभाकर
sarakshi,सारक्षी
pramada,प्रमदा
rayas,रॉयस
grummen,ग्रुम्मन
angiotech,एन्जियोटेक
